id,name
ocd-division/country:tz,"Tanzania, United Republic of
"
ocd-division/country:tz/region:as,Arusha
ocd-division/country:tz/region:as/ed:arumeru_magharibi,Arumeru Magharibi
ocd-division/country:tz/region:as/ed:arumeru_mashariki,Arumeru Mashariki
ocd-division/country:tz/region:as/ed:arusha_mjini,Arusha Mjini
ocd-division/country:tz/region:as/ed:karatu,Karatu
ocd-division/country:tz/region:as/ed:longido,Longido
ocd-division/country:tz/region:as/ed:monduli,Monduli
ocd-division/country:tz/region:as/ed:ngorongoro,Ngorongoro
ocd-division/country:tz/region:do,Dodoma
ocd-division/country:tz/region:do/ed:bahi,Bahi
ocd-division/country:tz/region:do/ed:chamwino,Chamwino
ocd-division/country:tz/region:do/ed:chemba,Chemba
ocd-division/country:tz/region:do/ed:dodoma_mjini,Dodoma Mjini
ocd-division/country:tz/region:do/ed:kibakwe,Kibakwe
ocd-division/country:tz/region:do/ed:kondoa,Kondoa
ocd-division/country:tz/region:do/ed:kondoa_mjini,Kondoa Mjini
ocd-division/country:tz/region:do/ed:kongwa,Kongwa
ocd-division/country:tz/region:do/ed:mpwapwa,Mpwapwa
ocd-division/country:tz/region:do/ed:mvumi,Mvumi
ocd-division/country:tz/region:ds,Dar es Salaam
ocd-division/country:tz/region:ds/ed:ilala,Ilala
ocd-division/country:tz/region:ds/ed:kawe,Kawe
ocd-division/country:tz/region:ds/ed:kibamba,Kibamba
ocd-division/country:tz/region:ds/ed:kigamboni,Kigamboni
ocd-division/country:tz/region:ds/ed:kinondoni,Kinondoni
ocd-division/country:tz/region:ds/ed:mbagala,Mbagala
ocd-division/country:tz/region:ds/ed:segerea,Segerea
ocd-division/country:tz/region:ds/ed:temeke,Temeke
ocd-division/country:tz/region:ds/ed:ubungo,Ubungo
ocd-division/country:tz/region:ds/ed:ukonga,Ukonga
ocd-division/country:tz/region:ge,Geita
ocd-division/country:tz/region:ge/ed:bukombe,Bukombe
ocd-division/country:tz/region:ge/ed:busanda,Busanda
ocd-division/country:tz/region:ge/ed:chato,Chato
ocd-division/country:tz/region:ge/ed:geita,Geita
ocd-division/country:tz/region:ge/ed:geita_mjini,Geita Mjini
ocd-division/country:tz/region:ge/ed:mbogwe,Mbogwe
ocd-division/country:tz/region:ge/ed:nyang'hwale,Nyang'hwale
